clustid,db,recnum,nclust
99379445,709,4294,3
99379785,829,3466,3
99379785,709,2147,3
99379785,829,3471,3
99380564,709,2155,2
99380564,829,3480,2
99381715,709,2163,2
99381715,829,3489,2
99381915,829,3492,2
99381915,709,2166,2
99382205,829,3495,2
99382205,709,2169,2
99383337,709,4292,3
99383337,709,2176,3
99383337,829,3502,3
99384213,829,3510,2
99384213,709,2185,2
99384524,829,3515,2
99384524,709,2190,2
99385114,829,3517,3
99385114,709,4295,3
99385114,709,2192,3
99385269,829,3522,2
99385269,709,2197,2
99385772,829,3526,2
99385772,709,2201,2
99386614,829,3535,2
99386614,709,2210,2
99386789,829,3537,2
99386789,709,2212,2
99387004,829,3539,2
99387004,709,2214,2
99388073,829,3546,2
99388073,709,2222,2
99388395,829,3548,2
99388395,709,2224,2
99389008,829,3553,2
99389008,709,2229,2
99389027,829,3554,2
99389027,709,2230,2
99389121,829,3556,2
99389121,709,2232,2
99389311,829,3559,2
99389311,709,2235,2
99389572,709,2238,2
99389572,829,3562,2
99389922,829,3564,2
99389922,709,2239,2
99390266,709,2241,2
99390266,829,3567,2
99390961,709,2247,2
99390961,829,3573,2
99391450,829,3580,2
99391450,709,2255,2
99391696,829,3584,2
99391696,709,2259,2
99391699,829,3585,2
99391699,709,2260,2
99391889,829,3586,2
99391889,709,2261,2
99394875,829,3599,2
99394875,709,2274,2
99394907,829,3601,2
99394907,709,2276,2
99395311,829,3606,2
99395311,709,2280,2
99395815,829,3613,2
99395815,709,2286,2
99397235,829,3626,2
99397235,709,2298,2
99397728,829,3629,2
99397728,709,2301,2
99397890,829,3631,2
99397890,709,2303,2
99398019,829,3632,2
99398019,709,2304,2
99398379,829,3640,2
99398379,709,2312,2
99402607,829,3657,2
99402607,709,2330,2
99403184,829,3658,2
99403184,709,2331,2
99403348,829,3663,2
99403348,709,2336,2
99403749,829,3667,2
99403749,709,2340,2
99404210,829,3672,2
99404210,709,2344,2
99404546,829,3676,2
99404546,709,2348,2
99404547,709,2349,2
99404547,829,3677,2
99404609,829,3682,2
99404609,709,2353,2
99404888,829,3684,2
99404888,709,2355,2
99405011,829,3685,2
99405011,709,2356,2
99405039,709,2358,2
99405039,829,3687,2
99405103,829,3688,2
99405103,709,2359,2
99405331,829,3691,2
99405331,709,2362,2
99405385,829,3693,2
99405385,709,2364,2
99405566,829,3697,2
99405566,709,2368,2
99405633,829,3698,2
99405633,709,2369,2
99406697,829,3702,2
99406697,709,2372,2
99406861,829,3705,2
99406861,709,2375,2
99407081,709,2377,2
99407081,829,3707,2
99407082,829,3708,2
99407082,709,2378,2
99407376,829,3711,2
99407376,709,2381,2
99407395,709,2382,2
99407395,829,3712,2
99408042,829,3715,2
99408042,709,2385,2
99409685,829,3732,2
99409685,709,2402,2
99410136,829,3738,2
99410136,709,2409,2
99410569,829,3748,3
99410569,829,5875,3
99410569,709,2419,3
99411620,709,2425,2
99411620,829,3754,2
99412291,829,3756,3
99412291,709,2427,3
99412291,709,4298,3
99412329,829,3757,2
99412329,709,2428,2
99412378,829,3759,2
99412378,709,2430,2
99412946,829,3764,2
99412946,709,2435,2
99413358,829,3767,2
99413358,709,2438,2
99413569,829,3769,2
99413569,709,2440,2
99413853,709,2446,2
99413853,829,3775,2
99413911,829,3776,2
99413911,709,2447,2
99414094,829,3778,2
99414094,709,2449,2
99414496,709,2453,2
99414496,829,3782,2
99415397,829,3788,2
99415397,709,2459,2
99415480,829,3789,2
99415480,709,2460,2
99415725,829,3792,2
99415725,709,2463,2
99416353,829,3798,2
99416353,709,2469,2
99416441,829,3800,2
99416441,709,2471,2
99417229,829,3807,2
99417229,709,2478,2
99417399,829,3809,2
99417399,709,2480,2
99418149,709,2486,2
99418149,829,3815,2
99419015,709,2492,2
99419015,829,3821,2
99419092,709,2494,2
99419092,829,3824,2
99419935,709,4299,3
99419935,709,2504,3
99419935,829,3834,3
99420336,829,3836,3
99420336,709,2322,3
99420336,709,2505,3
99420895,709,2509,2
99420895,829,3840,2
99420934,829,3842,2
99420934,829,5876,2
99421153,709,2512,2
99421153,829,3844,2
99421155,829,3845,2
99421155,709,2513,2
99421366,829,3849,2
99421366,709,2517,2
99421491,829,3851,2
99421491,709,2519,2
99421785,829,3853,2
99421785,709,2521,2
99422016,709,2522,2
99422016,829,3854,2
99422552,709,2529,3
99422552,829,3861,3
99422552,709,2722,3
99422733,829,3862,2
99422733,709,2530,2
99423064,829,3865,2
99423064,709,2533,2
99423808,709,2542,2
99423808,829,3874,2
99424040,829,3875,2
99424040,709,2544,2
99424739,829,4146,3
99424739,829,3884,3
99424739,709,2553,3
99425542,829,3891,2
99425542,709,2560,2
99425758,829,3894,2
99425758,709,2563,2
99426223,829,3902,2
99426223,709,2571,2
99426938,709,2576,2
99426938,829,3908,2
99428672,829,3919,2
99428672,709,2590,2
99429214,829,5877,4
99429214,709,2595,4
99429214,709,4277,4
99429214,829,3924,4
99431117,829,3934,2
99431117,709,2605,2
99431859,829,3940,2
99431859,709,2611,2
99432046,829,3942,2
99432046,709,2613,2
99432563,709,2615,2
99432563,829,3943,2
99432744,829,3945,2
99432744,709,2617,2
99432828,709,2619,2
99432828,829,3947,2
99432940,829,3950,2
99432940,709,2622,2
99434000,709,2587,2
99434000,829,5878,2
99434021,829,3956,2
99434021,709,2628,2
99435052,829,3962,2
99435052,709,2634,2
99435390,709,2582,2
99435390,709,2635,2
99435645,829,3964,2
99435645,709,2637,2
99437160,829,3976,2
99437160,709,2649,2
99440447,829,3996,2
99440447,709,2669,2
99441198,829,4000,2
99441198,709,2673,2
